Decimal;Hex;Column1;Value;Used As;mapping;reverse mapping;SysEx PIANO;SysEx E.PIANO;SysEx SUB;SysEx type;scale
0;0;Bank Select;0-127;MSB;;;;;;;
1;1;Modulation Wheel or Lever;0-127;MSB;;;;;;;
2;2;Breath Controller;0-127;MSB;;;;;;;
3;3;Undefined;0-127;MSB;tone;1;F0 40 00 10 00 12 40 00 60 02;F0 40 00 10 00 12 40 02 04 02;F0 40 00 10 00 12 40 03 28 02;section;127
4;4;Foot Controller;0-127;MSB;;;;;;;
5;5;Portamento Time;0-127;MSB;;;;;;;
6;6;Data Entry MSB;0-127;MSB;;;;;;;
7;7;Channel Volume (formerly Main Volume);0-127;MSB;;;;;;;
8;8;Balance;0-127;MSB;;;;;;;
9;9;Undefined;0-127;MSB;play;0;F0 7F 00 06 02 F7;;;MMC;1
10;0A;Pan;0-127;MSB;;;;;;;
11;0B;Expression Controller;0-127;MSB;;;;;;;
12;0C;Effect Control 1;0-127;MSB;;;;;;;
13;0D;Effect Control 2;0-127;MSB;;;;;;;
14;0E;Undefined;0-127;MSB;record pause;0;F0 7F 00 06 08 F7;;;MMC;1
15;0F;Undefined;0-127;MSB;record strobe;0;F0 7F 00 06 06 F7;;;MMC;1
16;10;General Purpose Controller 1;0-127;MSB;;;;;;;
17;11;General Purpose Controller 2;0-127;MSB;;;;;;;
18;12;General Purpose Controller 3;0-127;MSB;;;;;;;
19;13;General Purpose Controller 4;0-127;MSB;;;;;;;
20;14;Undefined;0-127;MSB;pause;0;F0 7F 00 06 09 F7;;;MMC;1
21;15;Undefined;0-127;MSB;rewind;0;F0 7F 00 06 05 F7;;;MMC;1
22;16;Undefined;0-127;MSB;fast forward;0;F0 7F 00 06 04 F7;;;MMC;1
23;17;Undefined;0-127;MSB;section volume;1;F0 40 00 10 00 12 40 01 70 01;F0 40 00 10 00 12 40 03 14 01;F0 40 00 10 00 12 40 04 38 01;section;1
24;18;Undefined;0-127;MSB;section toggle;1;F0 40 00 10 00 12 40 00 5E 01;F0 40 00 10 00 12 40 02 02 01;F0 40 00 10 00 12 40 03 26 01;section;127
25;19;Undefined;0-127;MSB;efx;1;F0 40 00 10 00 12 40 01 0D 01;F0 40 00 10 00 12 40 02 31 01;F0 40 00 10 00 12 40 03 55 01;section;127
26;1A;Undefined;0-127;MSB;efx2;1;F0 40 00 10 00 12 40 02 3E 01;F0 40 00 10 00 12 40 02 3E 01;F0 40 00 10 00 12 40 02 3E 01;section;127
27;1B;Undefined;0-127;MSB;amp;1;F0 40 00 10 00 12 40 02 3E 01;F0 40 00 10 00 12 40 02 16 01;F0 40 00 10 00 12 40 02 3E 01;section;127
28;1C;Undefined;0-127;MSB;reverb;1;F0 40 00 10 00 12 40 01 27 01;F0 40 00 10 00 12 40 02 4B 01;F0 40 00 10 00 12 40 03 6F 01;section;127
29;1D;Undefined;0-127;MSB;efx 1;1;F0 40 00 10 00 12 40 01 10 01;F0 40 00 10 00 12 40 02 34 01;F0 40 00 10 00 12 40 03 58 01;section;1
30;1E;Undefined;0-127;MSB;efx 2;1;F0 40 00 10 00 12 40 01 11 01;F0 40 00 10 00 12 40 02 35 01;F0 40 00 10 00 12 40 03 59 01;section;1
31;1F;Undefined;0-127;MSB;efx 3;1;F0 40 00 10 00 12 40 01 12 01;F0 40 00 10 00 12 40 02 36 01;F0 40 00 10 00 12 40 03 5A 01;section;1
32;20;LSB for Control 0 (Bank Select);0-127;LSB;;;;;;;
33;21;LSB for Control 1 (Modulation Wheel or Lever);0-127;LSB;;;;;;;
34;22;LSB for Control 2 (Breath Controller);0-127;LSB;;;;;;;
35;23;LSB for Control 3 (Undefined);0-127;LSB;;;;;;;
36;24;LSB for Control 4 (Foot Controller);0-127;LSB;;;;;;;
37;25;LSB for Control 5 (Portamento Time);0-127;LSB;;;;;;;
38;26;LSB for Control 6 (Data Entry);0-127;LSB;;;;;;;
39;27;LSB for Control 7 (Channel Volume, formerly Main Volume);0-127;LSB;;;;;;;
40;28;LSB for Control 8 (Balance);0-127;LSB;;;;;;;
41;29;LSB for Control 9 (Undefined);0-127;LSB;;;;;;;
42;2A;LSB for Control 10 (Pan);0-127;LSB;;;;;;;
43;2B;LSB for Control 11 (Expression Controller);0-127;LSB;;;;;;;
44;2C;LSB for Control 12 (Effect control 1);0-127;LSB;;;;;;;
45;2D;LSB for Control 13 (Effect control 2);0-127;LSB;;;;;;;
46;2E;LSB for Control 14 (Undefined);0-127;LSB;;;;;;;
47;2F;LSB for Control 15 (Undefined);0-127;LSB;;;;;;;
48;30;LSB for Control 16 (General Purpose Controller 1);0-127;LSB;;;;;;;
49;31;LSB for Control 17 (General Purpose Controller 2);0-127;LSB;;;;;;;
50;32;LSB for Control 18 (General Purpose Controller 3);0-127;LSB;;;;;;;
51;33;LSB for Control 19 (General Purpose Controller 4);0-127;LSB;;;;;;;
52;34;LSB for Control 20 (Undefined);0-127;LSB;;;;;;;
53;35;LSB for Control 21 (Undefined);0-127;LSB;;;;;;;
54;36;LSB for Control 22 (Undefined);0-127;LSB;;;;;;;
55;37;LSB for Control 23 (Undefined);0-127;LSB;;;;;;;
56;38;LSB for Control 24 (Undefined);0-127;LSB;;;;;;;
57;39;LSB for Control 25 (Undefined);0-127;LSB;;;;;;;
58;3A;LSB for Control 26 (Undefined);0-127;LSB;;;;;;;
59;3B;LSB for Control 27 (Undefined);0-127;LSB;;;;;;;
60;3C;LSB for Control 28 (Undefined);0-127;LSB;;;;;;;
61;3D;LSB for Control 29 (Undefined);0-127;LSB;;;;;;;
62;3E;LSB for Control 30 (Undefined);0-127;LSB;;;;;;;
63;3F;LSB for Control 31 (Undefined);0-127;LSB;;;;;;;
64;40;Damper Pedal on/off (Sustain);≤63 off, ≥64 on;---;;;;;;;
65;41;Portamento On/Off;≤63 off, ≥64 on;---;;;;;;;
66;42;Sostenuto On/Off;≤63 off, ≥64 on;---;;;;;;;
67;43;Soft Pedal On/Off;≤63 off, ≥64 on;---;;;;;;;
68;44;Legato Footswitch;≤63 Normal, ≥64 Legato;---;;;;;;;
69;45;Hold 2;≤63 off, ≥64 on;---;;;;;;;
70;46;Sound Controller 1 (default: Sound Variation);0-127;LSB;;;;;;;
71;47;Sound Controller 2 (default: Timbre/Harmonic Intens.);0-127;LSB;;;;;;;
72;48;Sound Controller 3 (default: Release Time);0-127;LSB;;;;;;;
73;49;Sound Controller 4 (default: Attack Time);0-127;LSB;;;;;;;
74;4A;Sound Controller 5 (default: Brightness);0-127;LSB;;;;;;;
75;4B;Sound Controller 6 (default: Decay Time - see MMA RP-021);0-127;LSB;;;;;;;
76;4C;Sound Controller 7 (default: Vibrato Rate - see MMA RP-021);0-127;LSB;;;;;;;
77;4D;Sound Controller 8 (default: Vibrato Depth - see MMA RP-021);0-127;LSB;;;;;;;
78;4E;Sound Controller 9 (default: Vibrato Delay - see MMA RP-021);0-127;LSB;;;;;;;
79;4F;Sound Controller 10 (default undefined - see MMA RP-021);0-127;LSB;;;;;;;
80;50;General Purpose Controller 5;0-127;LSB;;;;;;;
81;51;General Purpose Controller 6;0-127;LSB;;;;;;;
82;52;General Purpose Controller 7;0-127;LSB;;;;;;;
83;53;General Purpose Controller 8;0-127;LSB;;;;;;;
84;54;Portamento Control;0-127;LSB;;;;;;;
85;55;Undefined;---;---;efx 4;1;F0 40 00 10 00 12 40 01 13 01;F0 40 00 10 00 12 40 02 37 01;F0 40 00 10 00 12 40 03 5B 01;section;1
86;56;Undefined;---;---;efx 5;1;F0 40 00 10 00 12 40 01 14 01;F0 40 00 10 00 12 40 02 38 01;F0 40 00 10 00 12 40 03 5C 01;section;1
87;57;Undefined;---;---;efx 6;1;F0 40 00 10 00 12 40 01 15 01;F0 40 00 10 00 12 40 02 39 01;F0 40 00 10 00 12 40 03 5D 01;section;127
88;58;High Resolution Velocity Prefix;0-127;LSB;;;;;;;
89;59;Undefined;---;---;efx 7;1;F0 40 00 10 00 12 40 01 16 01;F0 40 00 10 00 12 40 02 3A 01;F0 40 00 10 00 12 40 03 5E 01;section;1
90;5A;Undefined;---;---;efx 8;1;F0 40 00 10 00 12 40 01 17 01;F0 40 00 10 00 12 40 02 3B 01;F0 40 00 10 00 12 40 03 5F 01;section;1
91;5B;Effects 1 Depth;0-127;---;;;;;;;
;;(default: Reverb Send Level - see MMA RP-023);;;;;;;;;
;;(formerly External Effects Depth);;;;;;;;;
92;5C;Effects 2 Depth (formerly Tremolo Depth);0-127;---;;;;;;;
93;5D;Effects 3 Depth;0-127;---;;;;;;;
;;(default: Chorus Send Level - see MMA RP-023);;;;;;;;;
;;(formerly Chorus Depth);;;;;;;;;
94;5E;Effects 4 Depth (formerly Celeste [Detune] Depth);0-127;---;;;;;;;
95;5F;Effects 5 Depth (formerly Phaser Depth);0-127;---;;;;;;;
96;60;Data Increment (Data Entry +1) (see MMA RP-018);N/A;---;;;;;;;
97;61;Data Decrement (Data Entry -1) (see MMA RP-018);N/A;---;;;;;;;
98;62;Non-Registered Parameter Number (NRPN) - LSB;0-127;LSB;;;;;;;
99;63;Non-Registered Parameter Number (NRPN) - MSB;0-127;MSB;;;;;;;
100;64;Registered Parameter Number (RPN) - LSB*;0-127;LSB;;;;;;;
101;65;Registered Parameter Number (RPN) - MSB*;0-127;MSB;;;;;;;
102;66;Undefined;---;---;efx 9;1;F0 40 00 10 00 12 40 01 18 01;F0 40 00 10 00 12 40 02 3C 01;F0 40 00 10 00 12 40 03 60 01;section;1
103;67;Undefined;---;---;efx 10;1;F0 40 00 10 00 12 40 01 19 01;F0 40 00 10 00 12 40 02 3D 01;F0 40 00 10 00 12 40 03 61 01;section;1
104;68;Undefined;---;---;;;;;;;
105;69;Undefined;---;---;;;;;;;
106;6A;Undefined;---;---;;;;;;;
